source,id,state,locality,level,status,effective_status,date,date_precision,month,county_fips,match_kind,candidate_fips,transform_version,geo_policy
ai_gridwatch,smithfield-ri,RI,Smithfield,Local,Enacted,Enacted,2026-06-04,day,2026-06,,unmatched,,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
ai_gridwatch,meridian-township-mi,MI,Meridian Township,Local,Enacted,Enacted,2026-05-19,day,2026-05,,unmatched,,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
ai_gridwatch,washington-township-macomb-co-mi,MI,Washington Township (Macomb Co.),Local,Enacted,Enacted,2026-05-01,month,2026-05,,unmatched,,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
ai_gridwatch,lysander-onondaga-co-ny,NY,Lysander (Onondaga Co.),Local,Enacted,Enacted,2026-05-07,day,2026-05,,unmatched,,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
ai_gridwatch,perth-fulton-co-ny,NY,Perth (Fulton Co.),Local,Enacted,Enacted,2026-06-04,day,2026-06,,unmatched,,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
ai_gridwatch,kings-mountain-nc,NC,Kings Mountain,Local,Enacted,Enacted,2026-02-24,day,2026-02,,ambiguous_place,37045|37071,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
ai_gridwatch,rockford-il,IL,Rockford,Local,Enacted,Enacted,2026-08-03,day,2026-08,,ambiguous_place,17141|17201,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
ai_gridwatch,nashville-tn,TN,Nashville,Local,Enacted,Enacted,2026-07-21,day,2026-07,,unmatched,,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
ai_gridwatch,san-marcos-tx,TX,San Marcos,Local,Enacted,Enacted,2026-06-16,day,2026-06,,ambiguous_place,48055|48187|48209,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
ai_gridwatch,baltimore-county-md,MD,Baltimore County,Local,Enacted,Enacted,2026-02-01,month,2026-02,,ambiguous_county,24005|24510,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
ai_gridwatch,lochbuie-co,CO,Lochbuie,Local,Enacted,Enacted,2026-07-21,day,2026-07,,ambiguous_place,08001|08123,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
