st_fips_raw,place_names,multiple_cities,predicted_st_fips,n_meta_rows,county_fips,state,county_name,all_county_fips,confidence,method,notes
0101708,Andalusia city,0,,247,01039,AL,Covington County,01039,high,place_to_county,national_places → counties gazetteer
0101852,Anniston city,0,,11,01015,AL,Calhoun County,01015,high,place_to_county,national_places → counties gazetteer
0102320,Argo town,0,,68,,AL,,01073;01115,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
0103076,Auburn city,0,,464,01081,AL,Lee County,01081,high,place_to_county,national_places → counties gazetteer
01043;0118976,Cullman County; Cullman city,1,01043,22,01043,AL,Cullman County,01043,medium,predicted_county_geoid_validated,validated against 2024 counties gazetteer; from predicted_st_fips for multi-city
01043;0118976,Cullman County; Cullman city,1,0118976,47,01043,AL,Cullman County,01043,medium,predicted_place_to_county,national_places → counties gazetteer; from predicted_st_fips for multi-city
01043;0118976,Cullman County; Cullman city,1,UNKNOWN,22,01043,AL,Cullman County,01043,medium,compound_tokens_agree,all resolvable tokens agree on one county
0107000,Birmingham city,0,,588,,AL,,01073;01117,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
01071;0138152,Jackson County; Jackson city,1,01071,432,01071,AL,Jackson County,01071,medium,predicted_county_geoid_validated,validated against 2024 counties gazetteer; from predicted_st_fips for multi-city
01071;0138152,Jackson County; Jackson city,1,UNKNOWN,11,,,,01025;01071,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
01071;0168736,Jackson County; Scottsboro city,1,01071,364,01071,AL,Jackson County,01071,medium,predicted_county_geoid_validated,validated against 2024 counties gazetteer; from predicted_st_fips for multi-city
01071;0168736,Jackson County; Scottsboro city,1,0168736,375,01071,AL,Jackson County,01071,medium,predicted_place_to_county,national_places → counties gazetteer; from predicted_st_fips for multi-city
01071;0168736,Jackson County; Scottsboro city,1,UNKNOWN,42,01071,AL,Jackson County,01071,medium,compound_tokens_agree,all resolvable tokens agree on one county
0109208,Brewton city,0,,319,01053,AL,Escambia County,01053,high,place_to_county,national_places → counties gazetteer
0125240,Fairhope city,0,,654,01003,AL,Baldwin County,01003,high,place_to_county,national_places → counties gazetteer
0126896,Florence,0,,15,01077,AL,Lauderdale County,01077,high,place_to_county,national_places → counties gazetteer
0127616;01049;0163336,Fort Payne city; DeKalb County; Rainsville city,1,01049,71,01049,AL,DeKalb County,01049,medium,predicted_county_geoid_validated,validated against 2024 counties gazetteer; from predicted_st_fips for multi-city
0127616;01049;0163336,Fort Payne city; DeKalb County; Rainsville city,1,0127616,53,01049,AL,DeKalb County,01049,medium,predicted_place_to_county,national_places → counties gazetteer; from predicted_st_fips for multi-city
0127616;01049;0163336,Fort Payne city; DeKalb County; Rainsville city,1,0163336,101,01049,AL,DeKalb County,01049,medium,predicted_place_to_county,national_places → counties gazetteer; from predicted_st_fips for multi-city
0127616;01049;0163336,Fort Payne city; DeKalb County; Rainsville city,1,UNKNOWN,45,01049,AL,DeKalb County,01049,medium,compound_tokens_agree,all resolvable tokens agree on one county
0128696,Gadsden city,0,,160,01055,AL,Etowah County,01055,high,place_to_county,national_places → counties gazetteer
0132848;0182992;01093;0104852;0109424;0132224;0132560;0146768,Hamilton city; Winfield city; Marion County; Bear Creek town; Brilliant town; Guin city; Hackleburg town; Marion city,1,01093,140,01093,AL,Marion County,01093,medium,predicted_county_geoid_validated,validated against 2024 counties gazetteer; from predicted_st_fips for multi-city
0132848;0182992;01093;0104852;0109424;0132224;0132560;0146768,Hamilton city; Winfield city; Marion County; Bear Creek town; Brilliant town; Guin city; Hackleburg town; Marion city,1,0132224,35,01093,AL,Marion County,01093,medium,predicted_place_to_county,national_places → counties gazetteer; from predicted_st_fips for multi-city
0132848;0182992;01093;0104852;0109424;0132224;0132560;0146768,Hamilton city; Winfield city; Marion County; Bear Creek town; Brilliant town; Guin city; Hackleburg town; Marion city,1,0132848,327,01093,AL,Marion County,01093,medium,predicted_place_to_county,national_places → counties gazetteer; from predicted_st_fips for multi-city
0132848;0182992;01093;0104852;0109424;0132224;0132560;0146768,Hamilton city; Winfield city; Marion County; Bear Creek town; Brilliant town; Guin city; Hackleburg town; Marion city,1,0182992,36,,,,01093;01105,low,ambiguous_compound,multi-city/compound st_fips; no single county invented
0132848;0182992;01093;0104852;0109424;0132224;0132560;0146768,Hamilton city; Winfield city; Marion County; Bear Creek town; Brilliant town; Guin city; Hackleburg town; Marion city,1,UNKNOWN,45,,,,01093;01105,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
0135800,Homewood city,0,,455,01073,AL,Jefferson County,01073,high,place_to_county,national_places → counties gazetteer
0135896,Hoover city,0,,93,,AL,,01073;01117,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
0137000,Huntsville city,0,,175,,AL,,01083;01089,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
0137864,Irondale city,0,,131,01073,AL,Jefferson County,01073,high,place_to_county,national_places → counties gazetteer
0141968,Leeds city,0,,33,,AL,,01073;01117;01115,low,ambiguous_multi_county_place,place spans 3 counties; FIPS not invented
0143120,Lincoln city,0,,9,01121,AL,Talladega County,01121,high,place_to_county,national_places → counties gazetteer
0150000,Mobile city,0,,1268,01097,AL,Mobile County,01097,high,place_to_county,national_places → counties gazetteer
0151000,Montgomery city,0,,828,01101,AL,Montgomery County,01101,high,place_to_county,national_places → counties gazetteer
0155200,Northport city,0,,337,01125,AL,Tuscaloosa County,01125,high,place_to_county,national_places → counties gazetteer
0159472;0171190,Phenix City city; Smiths Station city,1,0171190,63,01081,AL,Lee County,01081,medium,predicted_place_to_county,national_places → counties gazetteer; from predicted_st_fips for multi-city
0159472;0171190,Phenix City city; Smiths Station city,1,UNKNOWN,121,01081,AL,Lee County,01081,medium,compound_tokens_agree,all resolvable tokens agree on one county
0169120,Selma city,0,,112,01047,AL,Dallas County,01047,high,place_to_county,national_places → counties gazetteer
0169240,Semmes city,0,,63,,AL,,,none,unmatched_place,7-digit not in national_places / no safe county equiv
0171190,Smiths Station city,0,,14,01081,AL,Lee County,01081,high,place_to_county,national_places → counties gazetteer
0174352,Sylacauga city,0,,7,01121,AL,Talladega County,01121,high,place_to_county,national_places → counties gazetteer
0177304,Tuskegee city,0,,24,01087,AL,Macon County,01087,high,place_to_county,national_places → counties gazetteer
0177880,Union Springs city,0,,5,01011,AL,Bullock County,01011,high,place_to_county,national_places → counties gazetteer
0181720,Wetumpka city,0,,191,01051,AL,Elmore County,01051,high,place_to_county,national_places → counties gazetteer
0233140,Homer city,0,,1,02122,AK,Kenai Peninsula Borough,02122,high,place_to_county,national_places → counties gazetteer
0258660,Palmer city,0,,255,02170,AK,Matanuska-Susitna Borough,02170,high,place_to_county,national_places → counties gazetteer
0402830,Apache Junction city,0,,580,,AZ,,04013;04021,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
0412000,Chandler city,0,,327,04013,AZ,Maricopa County,04013,high,place_to_county,national_places → counties gazetteer
0412840,Chino Valley town,0,,302,04025,AZ,Yavapai County,04025,high,place_to_county,national_places → counties gazetteer
0416410,Cottonwood city,0,,535,04025,AZ,Yavapai County,04025,high,place_to_county,national_places → counties gazetteer
0427820,Glendale city,0,,6,04013,AZ,Maricopa County,04013,high,place_to_county,national_places → counties gazetteer
0433280,Holbrook city,0,,24,04017,AZ,Navajo County,04017,high,place_to_county,national_places → counties gazetteer
0437200,Kearny town,0,,3,04021,AZ,Pinal County,04021,high,place_to_county,national_places → counties gazetteer
0437620,Kingman city,0,,8,04015,AZ,Mohave County,04015,high,place_to_county,national_places → counties gazetteer
0439370,Lake Havasu City city,0,,366,04015,AZ,Mohave County,04015,high,place_to_county,national_places → counties gazetteer
0449640,Nogales city,0,,405,04023,AZ,Santa Cruz County,04023,high,place_to_county,national_places → counties gazetteer
0451810,Page city,0,,207,04005,AZ,Coconino County,04005,high,place_to_county,national_places → counties gazetteer
0455000,Phoenix city,0,,805,04013,AZ,Maricopa County,04013,high,place_to_county,national_places → counties gazetteer
0458010;04012,Quartzsite town; La Paz County,1,04012,30,04012,AZ,La Paz County,04012,medium,predicted_county_geoid_validated,validated against 2024 counties gazetteer; from predicted_st_fips for multi-city
0458010;04012,Quartzsite town; La Paz County,1,0458010,459,04012,AZ,La Paz County,04012,medium,predicted_place_to_county,national_places → counties gazetteer; from predicted_st_fips for multi-city
0458010;04012,Quartzsite town; La Paz County,1,UNKNOWN,116,04012,AZ,La Paz County,04012,medium,compound_tokens_agree,all resolvable tokens agree on one county
0462140,Sahuarita town,0,,131,04019,AZ,Pima County,04019,high,place_to_county,national_places → counties gazetteer
0466470,Show Low city,0,,429,04017,AZ,Navajo County,04017,high,place_to_county,national_places → counties gazetteer
0477000,Tucson city,0,,232,04019,AZ,Pima County,04019,high,place_to_county,national_places → counties gazetteer
0501990,Arkansas City city,0,,117,05041,AR,Desha County,05041,high,place_to_county,national_places → counties gazetteer
0504840,Bella Vista city,0,,222,05007,AR,Benton County,05007,high,place_to_county,national_places → counties gazetteer
0509460;0500580,Bryant city; Alexander city,1,0500580,8,05125,AR,Saline County,05125,medium,compound_tokens_agree,all resolvable tokens agree on one county
0509460;0500580,Bryant city; Alexander city,1,0509460,18,05125,AR,Saline County,05125,medium,predicted_place_to_county,national_places → counties gazetteer; from predicted_st_fips for multi-city
0509460;0500580,Bryant city; Alexander city,1,UNKNOWN,10,05125,AR,Saline County,05125,medium,compound_tokens_agree,all resolvable tokens agree on one county
0515190,Conway city,0,,137,05045,AR,Faulkner County,05045,high,place_to_county,national_places → counties gazetteer
0518520,Dermott city,0,,10,05017,AR,Chicot County,05017,high,place_to_county,national_places → counties gazetteer
0523290,Fayetteville city,0,,256,05143,AR,Washington County,05143,high,place_to_county,national_places → counties gazetteer
0528780,Greenwood city,0,,226,05131,AR,Sebastian County,05131,high,place_to_county,national_places → counties gazetteer
0566080,Springdale city,0,,442,,AR,,05007;05143,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
0571480,Van Buren city,0,,37,05033,AR,Crawford County,05033,high,place_to_county,national_places → counties gazetteer
0574360,West Fork city,0,,4,05143,AR,Washington County,05143,high,place_to_county,national_places → counties gazetteer
0574540,West Memphis city,0,,289,05035,AR,Crittenden County,05035,high,place_to_county,national_places → counties gazetteer
0600296,Adelanto city,0,,13,06071,CA,San Bernardino County,06071,high,place_to_county,national_places → counties gazetteer
0600562,Alameda city,0,,222,06001,CA,Alameda County,06001,high,place_to_county,national_places → counties gazetteer
0600674,Albany city,0,,849,06001,CA,Alameda County,06001,high,place_to_county,national_places → counties gazetteer
0602000,Anaheim city,0,,52,06059,CA,Orange County,06059,high,place_to_county,national_places → counties gazetteer
0602112;06009,Angels city; Calaveras County,1,06009,471,06009,CA,Calaveras County,06009,medium,predicted_county_geoid_validated,validated against 2024 counties gazetteer; from predicted_st_fips for multi-city
0602112;06009,Angels city; Calaveras County,1,UNKNOWN,530,06009,CA,Calaveras County,06009,medium,compound_tokens_agree,all resolvable tokens agree on one county
0602252,Antioch city,0,,15,06013,CA,Contra Costa County,06013,high,place_to_county,national_places → counties gazetteer
0603092,Atherton town,0,,647,06081,CA,San Mateo County,06081,high,place_to_county,national_places → counties gazetteer
0603162,Atwater city,0,,156,06047,CA,Merced County,06047,high,place_to_county,national_places → counties gazetteer
0604758,Beaumont city,0,,454,06065,CA,Riverside County,06065,high,place_to_county,national_places → counties gazetteer
0604982,Bellflower city,0,,214,06037,CA,Los Angeles County,06037,high,place_to_county,national_places → counties gazetteer
0608058,Brawley city,0,,1299,06025,CA,Imperial County,06025,high,place_to_county,national_places → counties gazetteer
0608310,Brisbane city,0,,757,06081,CA,San Mateo County,06081,high,place_to_county,national_places → counties gazetteer
0608954,Burbank city,0,,776,06037,CA,Los Angeles County,06037,high,place_to_county,national_places → counties gazetteer
0609780,California City city,0,,278,06029,CA,Kern County,06029,high,place_to_county,national_places → counties gazetteer
0609892,Calistoga city,0,,475,06055,CA,Napa County,06055,high,place_to_county,national_places → counties gazetteer
0610928,Canyon Lake city,0,,152,06065,CA,Riverside County,06065,high,place_to_county,national_places → counties gazetteer
0611194,Carlsbad city,0,,64,06073,CA,San Diego County,06073,high,place_to_county,national_places → counties gazetteer
0612524,Ceres city,0,,327,06099,CA,Stanislaus County,06099,high,place_to_county,national_places → counties gazetteer
0613014,Chico city,0,,304,06007,CA,Butte County,06007,high,place_to_county,national_places → counties gazetteer
0613945,Clearlake city,0,,614,06033,CA,Lake County,06033,high,place_to_county,national_places → counties gazetteer
0614190,Cloverdale city,0,,239,06097,CA,Sonoma County,06097,high,place_to_county,national_places → counties gazetteer
