st_fips_raw,place_names,multiple_cities,predicted_st_fips,n_meta_rows,county_fips,state,county_name,all_county_fips,confidence,method,notes
0102320,Argo town,0,,68,,AL,,01073;01115,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
0107000,Birmingham city,0,,588,,AL,,01073;01117,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
01071;0138152,Jackson County; Jackson city,1,UNKNOWN,11,,,,01025;01071,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
0132848;0182992;01093;0104852;0109424;0132224;0132560;0146768,Hamilton city; Winfield city; Marion County; Bear Creek town; Brilliant town; Guin city; Hackleburg town; Marion city,1,0182992,36,,,,01093;01105,low,ambiguous_compound,multi-city/compound st_fips; no single county invented
0132848;0182992;01093;0104852;0109424;0132224;0132560;0146768,Hamilton city; Winfield city; Marion County; Bear Creek town; Brilliant town; Guin city; Hackleburg town; Marion city,1,UNKNOWN,45,,,,01093;01105,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
0135896,Hoover city,0,,93,,AL,,01073;01117,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
0137000,Huntsville city,0,,175,,AL,,01083;01089,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
0141968,Leeds city,0,,33,,AL,,01073;01117;01115,low,ambiguous_multi_county_place,place spans 3 counties; FIPS not invented
0402830,Apache Junction city,0,,580,,AZ,,04013;04021,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
0566080,Springdale city,0,,442,,AR,,05007;05143,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
0661068;06077,Riverbank city; San Joaquin County,1,UNKNOWN,116,,,,06077;06099,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
0804935,Basalt town,0,,290,,CO,,08037;08097,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
0845970,Longmont city,0,,86,,CO,,08013;08123,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
0854330,Northglenn city,0,,250,,CO,,08001;08123,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
0877290,Thornton city,0,,141,,CO,,08001;08123,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
1304000,Atlanta,0,,1344,,GA,,13089;13121,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
1378800; 1333980; 1323872,Valdosta city; Gordon city; Douglas city,1,UNKNOWN,224,,,,13069;13185;13319,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
1644200; 16055,Kootenai city; Kootenai County,1,UNKNOWN,702,,,,16017;16055,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
1703012,Aurora city,0,,137,,IL,,17043;17089;17093;17197,low,ambiguous_multi_county_place,place spans 4 counties; FIPS not invented
1704013,Bartlett village,0,,486,,IL,,17031;17043;17089,low,ambiguous_multi_county_place,place spans 3 counties; FIPS not invented
1714000,Chicago city,0,,316,,IL,,17031;17043,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
1715833,Columbia city,0,,8,,IL,,17133;17163,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
1723620,Elmhurst city,0,,695,,IL,,17031;17043,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
1738570,Joliet city,0,,805,,IL,,17093;17197,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
1743939; 17197,Lisle village; Will County,1,UNKNOWN,256,,,,17043;17197,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
1746916,Marion city,0,,285,,IL,,17087;17199,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
1754534,Oak Brook village,0,,571,,IL,,17031;17043,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
1767769,Sauk Village village,0,,144,,IL,,17031;17197,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
2646000,Lansing city,0,,239,,MI,,26045;26065,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
2652960; 2668380; 2603520; 2646900; 2613720; 2657380,Memphis city; Richmond city; Armada village; Lenox township; Casco township; New Haven village,1,UNKNOWN,1347,,,,26099;26147,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
2745808,New Prague city,0,,312,,MN,,27079;27139,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
2911242,Cape Girardeau city,0,,279,,MO,,29031;29201,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
2912898,Centralia city,0,,119,,MO,,29007;29019,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
2935000,Independence city,0,,540,,MO,,29047;29095,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
2937000,Jefferson City city,0,,311,,MO,,29027;29051,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
2950402,Mountain Grove city,0,,15,,MO,,29215;29229,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
2961238,Republic city,0,,252,,MO,,29043;29077,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
31055; 3137000; 3108360,Douglas County; Omaha city; Center village,1,UNKNOWN,718,,,,31055;31107,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
3449920; 3402110; 3467350,Neptune City borough; Atlantic Highlands borough; Shrewsbury borough,1,UNKNOWN,60,,,,02110;34025,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
