source,moratorium_id,state,jurisdiction,jurisdiction_type,enacted_status,date_enacted_iso,month,sectors,county_fips,match_kind,candidate_fips,transform_version,geo_policy
moratorium_nation,al-birmingham-2026,AL,Birmingham,City,active,2026-03-03,2026-03,"[""data_center""]",,ambiguous_place,01073|01117,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
moratorium_nation,al-leeds-2026,AL,Leeds,City,active,2026-06-08,2026-06,"[""data_center""]",,ambiguous_place,01073|01115|01117,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
moratorium_nation,ct-morris-2026,CT,Morris,Town,active,2026-05,2026-05,"[""battery_storage"", ""data_center""]",,unmatched,,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
moratorium_nation,ga-athens-clarke-county-2025,GA,Athens-Clarke County,County,replaced,2025-12-02,2025-12,"[""data_center""]",,unmatched,,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
moratorium_nation,ga-augusta-richmond-county-undated,GA,Augusta-Richmond County,County,extended,2026-06-02,2026-06,"[""data_center""]",,unmatched,,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
moratorium_nation,ga-roswell-2026,GA,Roswell,City,extended,2026-01-12,2026-01,"[""data_center""]",,ambiguous_place,13067|13121,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
moratorium_nation,ga-social-circle-2025,GA,Social Circle,City,replaced,2025-09,2025-09,"[""data_center""]",,ambiguous_place,13217|13297,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
moratorium_nation,il-aurora-2025,IL,City of Aurora,City,replaced,2025-09-25,2025-09,"[""data_center""]",,unmatched,,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
moratorium_nation,il-city-of-bloomington-2026,IL,City of Bloomington,City,active,2026-05-26,2026-05,"[""data_center""]",,unmatched,,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
moratorium_nation,il-city-of-carbondale-2026,IL,City of Carbondale,City,active,2026-06-23,2026-06,"[""data_center""]",,unmatched,,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
moratorium_nation,il-collinsville-undated,IL,City of Collinsville,City,active,,,"[""data_center""]",,unmatched,,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
moratorium_nation,il-city-of-effingham-2026,IL,City of Effingham,City,active,2026-06-02,2026-06,"[""cryptocurrency_mining"",""data_center""]",,unmatched,,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
moratorium_nation,il-city-of-troy-2026,IL,City of Troy,City,active,2026-03,2026-03,"[""data_center""]",,unmatched,,c_moratoria_geo_stub_v0,best_effort_place_county_stub_no_invented_fips
