filing_uuid,filing_year,filing_period,filing_type,filing_type_display,dt_posted,event_month,state,county_fips,client_id,client_name,client_description,registrant_id,registrant_name,income,expenses,issue_codes,n_activities,keyword_hits,matched_seed,source_url,filter_version
7333b31f-0a9e-44fa-980f-2c21e134cefa,2023,first_quarter,RA,Registration - Amendment,2023-03-02T13:19:51-05:00,2023-03,GA,,202999,"SOUTHERN COMPANY SERVICES, INC.",Energy Company,401104982,"AQUIA GROUP, LLC",,,ENG,1,electric_utility|power_utility,Southern Company,https://lda.gov/filings/public/filing/7333b31f-0a9e-44fa-980f-2c21e134cefa/print/,lda_rules_v0
824de74a-8545-4798-83dc-ff84b4621082,2023,first_quarter,RR,Registration,2023-03-02T15:25:52-05:00,2023-03,CA,,54558,"ANTHROPIC, PBC",AI safety and research company,401104982,"AQUIA GROUP, LLC",,,CPI,1,anthropic|ai_word,Anthropic,https://lda.gov/filings/public/filing/824de74a-8545-4798-83dc-ff84b4621082/print/,lda_rules_v0
f90cf8c2-deb6-4c57-b9e6-15ea79c961fb,2023,first_quarter,RR,Registration,2023-03-06T15:10:46-05:00,2023-03,VA,,54583,"AQUIA GROUP ON BEHALF OF ANTHROPIC, PBC",Government affairs and consulting firm on behalf of AI Safety and Research Firm,401105158,TOWER 19,,,CPI,1,anthropic|ai_word,Anthropic,https://lda.gov/filings/public/filing/f90cf8c2-deb6-4c57-b9e6-15ea79c961fb/print/,lda_rules_v0
b492d7fb-8728-4670-bda1-b9d7524d0181,2023,first_quarter,RR,Registration,2023-03-13T10:46:39-04:00,2023-03,CA,,54658,EQUINIX,Equinix is a global digital infrastructure company.,308775,MONUMENT ADVOCACY,,,GOV|HOM|SCI,3,data_center_operator,Equinix,https://lda.gov/filings/public/filing/b492d7fb-8728-4670-bda1-b9d7524d0181/print/,lda_rules_v0
7c1bbae4-3851-4277-b088-20a2f6bf0299,2023,first_quarter,1TY,1st Quarter - Termination (No Activity),2023-03-20T14:40:29-04:00,2023-03,CA,,52817,TOWER 19 ON BEHALF OF LATTICE SEMICONDUCTOR,lobbying firm on behalf of semiconductor company,401105938,"ALVA ELLIOTT PARTNERS, LLC",,,,0,semiconductor,Semiconductor,https://lda.gov/filings/public/filing/7c1bbae4-3851-4277-b088-20a2f6bf0299/print/,lda_rules_v0
866ea1d4-9f1e-4999-be88-e12175332813,2023,first_quarter,Q1,1st Quarter - Report,2023-04-11T14:18:30-04:00,2023-04,CA,,201583,"EQUINIX, INC.",,401104350,"EQUINIX, INC.",,240000.00,CPI|DEF|ENG|TEC,4,data_center|data_center_operator,Equinix,https://lda.gov/filings/public/filing/866ea1d4-9f1e-4999-be88-e12175332813/print/,lda_rules_v0
53560182-7b0b-43b9-9861-61e39365ed34,2023,first_quarter,Q1,1st Quarter - Report,2023-04-13T13:02:25-04:00,2023-04,DC,,124649,SEMICONDUCTOR INDUSTRY ASSOCIATION,Trade Association for the Semiconductors Industry,18422,HOGAN LOVELLS CADWALADER US LLP (FKA HOGAN LOVELLS US LLP),20000.00,,TRD,1,semiconductor,Semiconductor,https://lda.gov/filings/public/filing/53560182-7b0b-43b9-9861-61e39365ed34/print/,lda_rules_v0
12a7d321-ccf0-4d6a-8463-eac8404fd470,2023,first_quarter,Q1,1st Quarter - Report,2023-04-13T16:23:07-04:00,2023-04,DC,,206081,SEMICONDUCTOR INDUSTRY ASSOCIATION,Trade association,25306,"MILLER & CHEVALIER, CHTD",60000.00,,TAX,1,semiconductor,Semiconductor,https://lda.gov/filings/public/filing/12a7d321-ccf0-4d6a-8463-eac8404fd470/print/,lda_rules_v0
b51711ca-0de5-4e6c-9416-631e8c3ae137,2023,first_quarter,Q1,1st Quarter - Report,2023-04-15T13:40:40-04:00,2023-04,CA,,53580,NVIDIA CORPORATION,"Computer technology, semiconductor design, telecommunications, and artificial intelligence",20744,TIBER CREEK GROUP,80000.00,,CPI|DEF|TEC|TRD,4,artificial_intelligence|semiconductor|nvidia,NVIDIA,https://lda.gov/filings/public/filing/b51711ca-0de5-4e6c-9416-631e8c3ae137/print/,lda_rules_v0
7437966e-feb2-4ed3-bda9-ca1a06a81683,2023,first_quarter,Q1,1st Quarter - Report,2023-04-17T09:08:06-04:00,2023-04,DC,,147594,"NEXTERA ENERGY, INC.",Electric Utility,39815,"VAN NESS FELDMAN, LLP",40000.00,,ENV|GOV|NAT|TAX|UTI,5,electric_utility|power_utility,NextEra Energy,https://lda.gov/filings/public/filing/7437966e-feb2-4ed3-bda9-ca1a06a81683/print/,lda_rules_v0
4e5b0783-954e-411d-8466-cab90e0f8896,2023,first_quarter,Q1,1st Quarter - Report,2023-04-17T10:10:11-04:00,2023-04,TX,,205155,ADVANCED MICRO DEVICES (AMD),Semiconductor company that develops computer processors and related technologies.,400976792,FORBES-TATE,60000.00,,CPI|DEF|MAN|TAX|TEC|TRD,6,semiconductor,Advanced Micro Devices,https://lda.gov/filings/public/filing/4e5b0783-954e-411d-8466-cab90e0f8896/print/,lda_rules_v0
627b174c-279b-4355-aaf0-133355ebee0b,2023,first_quarter,1T,1st Quarter - Termination,2023-04-17T12:59:43-04:00,2023-04,CA,,205882,CLARK STREET ASSOCIATES ON BEHALF OF LATTICE SEMICONDUCTOR,Consulting firm,32098,"K&L GATES, LLP",50000.00,,BUD|CPI,2,semiconductor,Semiconductor,https://lda.gov/filings/public/filing/627b174c-279b-4355-aaf0-133355ebee0b/print/,lda_rules_v0
cad54eaa-265e-4689-af6b-e3f621a91dcb,2023,first_quarter,Q1Y,1st Quarter - Report (No Activity),2023-04-17T15:06:56-04:00,2023-04,CA,,137609,EQUINIX,Equinix is a company which builds world class data centers around the globe.,30906,SQUIRE PATTON BOGGS,,,,0,data_center|data_center_operator,Equinix,https://lda.gov/filings/public/filing/cad54eaa-265e-4689-af6b-e3f621a91dcb/print/,lda_rules_v0
177cb214-54c8-4504-aae1-883db9097288,2023,first_quarter,Q1,1st Quarter - Report,2023-04-17T18:12:49-04:00,2023-04,FL,,171556,NEXTERA ENERGY INC,electric utility and energy project developer,82135,OWEN EVANS INGOLS,50000.00,,UTI,1,electric_utility|power_utility,NextEra Energy,https://lda.gov/filings/public/filing/177cb214-54c8-4504-aae1-883db9097288/print/,lda_rules_v0
73e20b7d-2392-4dce-8663-5ac3f7a3ea56,2023,first_quarter,Q1,1st Quarter - Report,2023-04-17T19:16:42-04:00,2023-04,AZ,,53315,SEMICONDUCTOR COMPONENT INDUSTRIES LLC,Semiconductor and component manufacturer,401106546,DGA GROUP GOVERNMENT RELATIONS LLC,150000.00,,SCI,1,semiconductor,Semiconductor,https://lda.gov/filings/public/filing/73e20b7d-2392-4dce-8663-5ac3f7a3ea56/print/,lda_rules_v0
55de695a-394b-463c-9509-ac1e51e2e9ad,2023,first_quarter,Q1,1st Quarter - Report,2023-04-18T11:15:25-04:00,2023-04,ID,,53519,LA SEMICONDUCTOR,Semiconductor foundry,55291,BUCHANAN INGERSOLL & ROONEY PC,40000.00,,BUD|MAN|SCI,3,semiconductor|chipmaker,Semiconductor,https://lda.gov/filings/public/filing/55de695a-394b-463c-9509-ac1e51e2e9ad/print/,lda_rules_v0
47050f40-0424-4968-84c8-cfa24bf88440,2023,first_quarter,Q1,1st Quarter - Report,2023-04-18T12:10:25-04:00,2023-04,TX,,208359,"DIGITAL REALTY TRUST, INC.","Global provider of data center, colocation, and interconnection solutions",39941,VENABLE LLP,30000.00,,CPI,1,data_center|data_center_operator,Digital Realty,https://lda.gov/filings/public/filing/47050f40-0424-4968-84c8-cfa24bf88440/print/,lda_rules_v0
68606c07-6367-44bd-bb63-4f596c0ea729,2023,first_quarter,Q1,1st Quarter - Report,2023-04-18T16:30:35-04:00,2023-04,NC,,53553,"TRIAD SEMICONDUCTOR, INC.",Design and manufacturer semiconductors,32098,"K&L GATES, LLP",50000.00,,MAN,1,semiconductor,Semiconductor,https://lda.gov/filings/public/filing/68606c07-6367-44bd-bb63-4f596c0ea729/print/,lda_rules_v0
d308bcd5-5630-4b49-bbe4-9c6fc6bd0437,2023,first_quarter,Q1,1st Quarter - Report,2023-04-18T16:49:02-04:00,2023-04,CA,,140372,"EQUINIX, INC.",Global interconnection provider,32098,"K&L GATES, LLP",30000.00,,CPI|TEC|TRD,3,data_center_operator,Equinix,https://lda.gov/filings/public/filing/d308bcd5-5630-4b49-bbe4-9c6fc6bd0437/print/,lda_rules_v0
559b847d-7457-4d44-be72-7f7ec4df7a67,2023,first_quarter,Q1,1st Quarter - Report,2023-04-18T16:51:19-04:00,2023-04,CA,,53473,"INDIE SEMICONDUCTOR, INC.",Semiconductor system solutions company.,32098,"K&L GATES, LLP",20000.00,,MAN|TRD,2,semiconductor,Semiconductor,https://lda.gov/filings/public/filing/559b847d-7457-4d44-be72-7f7ec4df7a67/print/,lda_rules_v0
ad91b36f-1856-4bbe-a333-828f1f15720b,2023,first_quarter,Q1,1st Quarter - Report,2023-04-18T17:21:41-04:00,2023-04,DC,,208922,SEMICONDUCTOR INDUSTRY ASSOCIATION,Advances policies that help the industry grow and unites semiconductor companies,75557,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",50000.00,,BUD|TAX,2,semiconductor,Semiconductor,https://lda.gov/filings/public/filing/ad91b36f-1856-4bbe-a333-828f1f15720b/print/,lda_rules_v0
01191e39-8d56-4065-b874-733dbcacd20f,2023,first_quarter,RR,Registration,2023-04-18T22:16:06-04:00,2023-04,ID,,55341,"MICRON TECHNOLOGY, INC.",Semiconductor memory and storage innovation,401104428,"GUIDEPOSTSTRATEGIES, LLC",,,BUD,1,semiconductor,Micron Technology,https://lda.gov/filings/public/filing/01191e39-8d56-4065-b874-733dbcacd20f/print/,lda_rules_v0
0adc4f2c-18bb-4368-9ad1-ce99c10e195c,2023,first_quarter,Q1,1st Quarter - Report,2023-04-19T10:47:05-04:00,2023-04,DC,,205733,TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY (TSMC),,401105575,TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY (TSMC),,520000.00,CHM|ECN|IMM|TAX|TRD,5,semiconductor,Semiconductor,https://lda.gov/filings/public/filing/0adc4f2c-18bb-4368-9ad1-ce99c10e195c/print/,lda_rules_v0
027c7c7d-add4-40e4-b865-4e06dfbc8a9b,2023,first_quarter,Q1,1st Quarter - Report,2023-04-19T10:57:50-04:00,2023-04,DC,,143063,SEMICONDUCTOR INDUSTRY ASSOCIATION,,34821,SEMICONDUCTOR INDUSTRY ASSOCIATION,,370000.00,BUD|DEF|ENV|IMM|LBR|SCI|TAX|TEC|TRD,9,semiconductor,Semiconductor,https://lda.gov/filings/public/filing/027c7c7d-add4-40e4-b865-4e06dfbc8a9b/print/,lda_rules_v0
da21b90c-8f15-4456-9e13-a264b30e95f2,2023,first_quarter,Q1Y,1st Quarter - Report (No Activity),2023-04-19T15:10:05-04:00,2023-04,NY,,111677,GLOBALFOUNDRIES U.S. INC.,"Full-service semiconductor design, development, fabrication and innovation company.",8316,CARMEN GROUP INCORPORATED,,,,0,semiconductor|chipmaker,GlobalFoundries,https://lda.gov/filings/public/filing/da21b90c-8f15-4456-9e13-a264b30e95f2/print/,lda_rules_v0
