data_year,utility_number,utility_name,state,county_eia,county_fips,census_county_name,match_status,metric_label,transform_version,grain_note
2024,34,City of Abbeville - (SC),SC,Abbeville,45001,Abbeville County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,55,City of Aberdeen - (MS),MS,Monroe,28095,Monroe County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,59,City of Abbeville - (LA),LA,Vermilion,22113,Vermilion Parish,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,84,A & N Electric Coop,MD,Somerset,24039,Somerset County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,84,A & N Electric Coop,VA,Accomack,51001,Accomack County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,84,A & N Electric Coop,VA,Northampton,51131,Northampton County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,87,City of Ada - (MN),MN,Norman,27107,Norman County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,97,Adams Electric Coop,IL,Adams,17001,Adams County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,97,Adams Electric Coop,IL,Brown,17009,Brown County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,97,Adams Electric Coop,IL,Hancock,17067,Hancock County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,97,Adams Electric Coop,IL,McDonough,17109,McDonough County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,97,Adams Electric Coop,IL,Pike,17149,Pike County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,97,Adams Electric Coop,IL,Schuyler,17169,Schuyler County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,108,Adams-Columbia Electric Coop,WI,Adams,55001,Adams County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,108,Adams-Columbia Electric Coop,WI,Columbia,55021,Columbia County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,108,Adams-Columbia Electric Coop,WI,Dane,55025,Dane County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,108,Adams-Columbia Electric Coop,WI,Dodge,55027,Dodge County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,108,Adams-Columbia Electric Coop,WI,Green Lake,55047,Green Lake County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,108,Adams-Columbia Electric Coop,WI,Jefferson,55055,Jefferson County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,108,Adams-Columbia Electric Coop,WI,Marquette,55077,Marquette County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,108,Adams-Columbia Electric Coop,WI,Portage,55097,Portage County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,108,Adams-Columbia Electric Coop,WI,Sauk,55111,Sauk County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,108,Adams-Columbia Electric Coop,WI,Waupaca,55135,Waupaca County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,108,Adams-Columbia Electric Coop,WI,Waushara,55137,Waushara County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,108,Adams-Columbia Electric Coop,WI,Wood,55141,Wood County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,118,"Adams Rural Electric Coop, Inc",OH,Adams,39001,Adams County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,118,"Adams Rural Electric Coop, Inc",OH,Brown,39015,Brown County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,118,"Adams Rural Electric Coop, Inc",OH,Highland,39071,Highland County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,118,"Adams Rural Electric Coop, Inc",OH,Pike,39131,Pike County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,118,"Adams Rural Electric Coop, Inc",OH,Scioto,39145,Scioto County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,122,Village of Arcade - (NY),NY,Cattaraugus,36009,Cattaraugus County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,122,Village of Arcade - (NY),NY,Erie,36029,Erie County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,122,Village of Arcade - (NY),NY,Wyoming,36121,Wyoming County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,123,City of Adel- (GA),GA,Cook,13075,Cook County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,123,City of Adel- (GA),GA,Tift,13277,Tift County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,149,City of Afton- (IA),IA,Union,19175,Union County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,150,Adrian Public Utilities Comm,MN,Nobles,27105,Nobles County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,155,Agralite Electric Coop,MN,Big Stone,27011,Big Stone County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,155,Agralite Electric Coop,MN,Chippewa,27023,Chippewa County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,155,Agralite Electric Coop,MN,Kandiyohi,27067,Kandiyohi County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,155,Agralite Electric Coop,MN,Pope,27121,Pope County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,155,Agralite Electric Coop,MN,Stevens,27149,Stevens County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,155,Agralite Electric Coop,MN,Swift,27151,Swift County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,157,Town of Advance - (IN),IN,Boone,18011,Boone County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,162,Aiken Electric Coop Inc,SC,Aiken,45003,Aiken County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,162,Aiken Electric Coop Inc,SC,Barnwell,45011,Barnwell County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,162,Aiken Electric Coop Inc,SC,Calhoun,45017,Calhoun County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,162,Aiken Electric Coop Inc,SC,Edgefield,45037,Edgefield County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,162,Aiken Electric Coop Inc,SC,Greenwood,45047,Greenwood County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,162,Aiken Electric Coop Inc,SC,Lexington,45063,Lexington County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,162,Aiken Electric Coop Inc,SC,McCormick,45065,McCormick County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,162,Aiken Electric Coop Inc,SC,Orangeburg,45075,Orangeburg County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,162,Aiken Electric Coop Inc,SC,Saluda,45081,Saluda County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,174,Aitkin Public Utilities Comm,MN,Aitkin,27001,Aitkin County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,176,Ajo Improvement Co,AZ,Pima,04019,Pima County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,182,City of Akron - (IA),IA,Plymouth,19149,Plymouth County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,183,Village of Akron - (NY),NY,Erie,36029,Erie County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,191,Alamo Power District No 3,NV,Lincoln,32017,Lincoln County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,192,Akiachak Native Community Electric,AK,Bethel,02050,Bethel Census Area,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,195,Alabama Power Co,AL,Autauga,01001,Autauga County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,195,Alabama Power Co,AL,Baldwin,01003,Baldwin County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,195,Alabama Power Co,AL,Barbour,01005,Barbour County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,195,Alabama Power Co,AL,Bibb,01007,Bibb County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,195,Alabama Power Co,AL,Blount,01009,Blount County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,195,Alabama Power Co,AL,Bullock,01011,Bullock County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,195,Alabama Power Co,AL,Butler,01013,Butler County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,195,Alabama Power Co,AL,Calhoun,01015,Calhoun County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,195,Alabama Power Co,AL,Chambers,01017,Chambers County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,195,Alabama Power Co,AL,Cherokee,01019,Cherokee County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,195,Alabama Power Co,AL,Chilton,01021,Chilton County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,195,Alabama Power Co,AL,Choctaw,01023,Choctaw County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,195,Alabama Power Co,AL,Clarke,01025,Clarke County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,195,Alabama Power Co,AL,Clay,01027,Clay County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,195,Alabama Power Co,AL,Cleburne,01029,Cleburne County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
2024,195,Alabama Power Co,AL,Coffee,01031,Coffee County,matched,utility_service_territory_coverage,eia_861_coverage_v0,annual_eia861_service_territory_not_monthly
