q_id,entity,q_status,type_clean,state,county,county_fips,geo_level,month,month_source,mw_1,region,metric_label,not_data_center_permits
not assigned,APS,withdrawn,Solar,AZ,Coconino,04005,county_fips,2019-02,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q007 - 061,APS,operational,Other,AZ,Navajo,04017,county_fips,2005-05,q_date,24.0,West,generation_storage_interconnection_queue_activity,true
Q044a.,APS,withdrawn,Solar,AZ,Yuma,04027,county_fips,2008-05,q_date,900.0,West,generation_storage_interconnection_queue_activity,true
Q044b.,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2008-05,q_date,300.0,West,generation_storage_interconnection_queue_activity,true
Q1,APS,withdrawn,Coal,NM,San Juan,35045,county_fips,2004-02,q_date,700.0,West,generation_storage_interconnection_queue_activity,true
Q10,APS,withdrawn,Wind,AZ,Coconino,04005,county_fips,2006-03,q_date,60.0,West,generation_storage_interconnection_queue_activity,true
Q100,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-03,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q101,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-02,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q102,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-03,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q103,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-02,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q104,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-03,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q105,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-03,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q106,APS,withdrawn,Wind,AZ,Navajo,04017,county_fips,2010-03,q_date,200.0,West,generation_storage_interconnection_queue_activity,true
Q107,APS,withdrawn,Wind,AZ,Yavapai,04025,county_fips,2010-03,q_date,120.0,West,generation_storage_interconnection_queue_activity,true
Q108,APS,withdrawn,Solar,AZ,Yuma,04027,county_fips,2010-03,q_date,9.38,West,generation_storage_interconnection_queue_activity,true
Q109,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-03,q_date,30.0,West,generation_storage_interconnection_queue_activity,true
Q11,APS,withdrawn,Gas,AZ,Maricopa,04013,county_fips,2005-11,q_date,597.0,West,generation_storage_interconnection_queue_activity,true
Q110,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-03,q_date,30.0,West,generation_storage_interconnection_queue_activity,true
Q111,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-03,q_date,30.0,West,generation_storage_interconnection_queue_activity,true
Q112,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-03,q_date,30.0,West,generation_storage_interconnection_queue_activity,true
Q113,APS,operational,Wind,AZ,Coconino,04005,county_fips,2010-03,q_date,101.0,West,generation_storage_interconnection_queue_activity,true
Q114,APS,withdrawn,Solar,AZ,La Paz,04012,county_fips,2010-03,q_date,50.0,West,generation_storage_interconnection_queue_activity,true
Q115,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-03,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q116,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-03,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q117,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-03,q_date,18.0,West,generation_storage_interconnection_queue_activity,true
Q118,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-03,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q119,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-03,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q12,APS,withdrawn,Gas,AZ,Yuma,04027,county_fips,2005-08,q_date,206.0,West,generation_storage_interconnection_queue_activity,true
Q120,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-04,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q121,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-04,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q122,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-03,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q123,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-04,q_date,15.0,West,generation_storage_interconnection_queue_activity,true
Q124,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-04,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q125,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-04,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q126,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-04,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q127,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-04,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q128,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-04,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q129,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-04,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q13,APS,withdrawn,Gas,AZ,Yuma,04027,county_fips,2005-08,q_date,165.0,West,generation_storage_interconnection_queue_activity,true
Q130,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-04,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q131,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-04,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q132,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-04,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q133,APS,withdrawn,Solar,AZ,Yuma,04027,county_fips,2010-04,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q134,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-06,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q135,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-04,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q136,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-04,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q137,APS,withdrawn,Solar,AZ,Navajo,04017,county_fips,2010-06,q_date,50.0,West,generation_storage_interconnection_queue_activity,true
Q138,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-04,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q139,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-04,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q14,APS,withdrawn,Gas,AZ,Yuma,04027,county_fips,2005-11,q_date,99.0,West,generation_storage_interconnection_queue_activity,true
Q140,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-06,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q141,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-06,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q142,APS,withdrawn,Wind,AZ,Apache,04001,county_fips,2010-04,q_date,99.0,West,generation_storage_interconnection_queue_activity,true
Q143,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-04,q_date,50.0,West,generation_storage_interconnection_queue_activity,true
Q144,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-04,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q145,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2010-06,q_date,50.0,West,generation_storage_interconnection_queue_activity,true
